Codi_districte,Nom_districte,Lloc_de_procedencia,Nombre
8,Nou Barris,Castella i Lleó,5
8,Nou Barris,Castella i Lleó,2
8,Nou Barris,Castella i Lleó,3
8,Nou Barris,Castella i Lleó,5
8,Nou Barris,Castella i Lleó,5
8,Nou Barris,Castella i Lleó,1
8,Nou Barris,Castella i Lleó,0
8,Nou Barris,Castella i Lleó,8
8,Nou Barris,Castella i Lleó,1
8,Nou Barris,Castella - la Manxa,7
8,Nou Barris,Castella - la Manxa,7
8,Nou Barris,Castella - la Manxa,2
8,Nou Barris,Castella - la Manxa,0
8,Nou Barris,Castella - la Manxa,3
8,Nou Barris,Castella - la Manxa,1
8,Nou Barris,Castella - la Manxa,2
8,Nou Barris,Castella - la Manxa,6
8,Nou Barris,Castella - la Manxa,6
8,Nou Barris,Castella - la Manxa,1
8,Nou Barris,Castella - la Manxa,0
8,Nou Barris,Castella - la Manxa,4
8,Nou Barris,Castella - la Manxa,0
8,Nou Barris,Catalunya,440
8,Nou Barris,Catalunya,546
8,Nou Barris,Catalunya,325
8,Nou Barris,Catalunya,38
8,Nou Barris,Catalunya,184
8,Nou Barris,Catalunya,84
8,Nou Barris,Catalunya,342
8,Nou Barris,Catalunya,244
8,Nou Barris,Catalunya,513
8,Nou Barris,Catalunya,213
8,Nou Barris,Catalunya,61
8,Nou Barris,Catalunya,246
8,Nou Barris,Catalunya,29
8,Nou Barris,Comunitat Valenciana,21
8,Nou Barris,Comunitat Valenciana,20
8,Nou Barris,Comunitat Valenciana,11
8,Nou Barris,Comunitat Valenciana,0
8,Nou Barris,Comunitat Valenciana,15
8,Nou Barris,Comunitat Valenciana,1
8,Nou Barris,Comunitat Valenciana,16
8,Nou Barris,Comunitat Valenciana,12
8,Nou Barris,Comunitat Valenciana,23
8,Nou Barris,Comunitat Valenciana,4
8,Nou Barris,Comunitat Valenciana,1
8,Nou Barris,Comunitat Valenciana,20
8,Nou Barris,Comunitat Valenciana,0
8,Nou Barris,Extremadura,7
8,Nou Barris,Extremadura,4
8,Nou Barris,Extremadura,2
8,Nou Barris,Extremadura,0
8,Nou Barris,Extremadura,5
8,Nou Barris,Extremadura,0
8,Nou Barris,Extremadura,0
8,Nou Barris,Extremadura,2
8,Nou Barris,Extremadura,3
8,Nou Barris,Extremadura,0
8,Nou Barris,Extremadura,0
8,Nou Barris,Extremadura,3
8,Nou Barris,Extremadura,0
8,Nou Barris,Galicia,14
8,Nou Barris,Galicia,15
8,Nou Barris,Galicia,4
8,Nou Barris,Galicia,0
8,Nou Barris,Galicia,4
8,Nou Barris,Galicia,1
8,Nou Barris,Galicia,5
8,Nou Barris,Galicia,6
8,Nou Barris,Galicia,13
8,Nou Barris,Galicia,1
8,Nou Barris,Galicia,2
8,Nou Barris,Galicia,2
8,Nou Barris,Galicia,0
8,Nou Barris,Comunitat de Madrid,38
8,Nou Barris,Comunitat de Madrid,35
8,Nou Barris,Comunitat de Madrid,26
