Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Lloc_de_procedencia,Nombre
2018,2,Eixample,10,Sant Antoni,Cantabria,2
2018,3,Sants-Montjuic,11,el Poble Sec,Cantabria,8
2018,3,Sants-Montjuic,12,la Marina del Prat Vermell,Cantabria,0
2018,3,Sants-Montjuic,13,la Marina de Port,Cantabria,4
2018,3,Sants-Montjuic,14,la Font de la Guatlla,Cantabria,2
2018,3,Sants-Montjuic,15,Hostafrancs,Cantabria,3
2018,3,Sants-Montjuic,16,la Bordeta,Cantabria,2
2018,3,Sants-Montjuic,17,Sants - Badal,Cantabria,1
2018,3,Sants-Montjuic,18,Sants,Cantabria,7
2018,4,Les Corts,19,les Corts,Cantabria,3
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Cantabria,1
2018,4,Les Corts,21,Pedralbes,Cantabria,1
2018,5,Sarria-Sant Gervasi,22,Vallvidrera,Cantabria,0
2018,5,Sarria-Sant Gervasi,23,Sarria,Cantabria,0
2018,5,Sarria-Sant Gervasi,24,les Tres Torres,Cantabria,0
2018,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Cantabria,5
2018,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Cantabria,3
2018,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Cantabria,0
2018,6,Gracia,28,Vallcarca i els Penitents,Cantabria,3
2018,6,Gracia,29,el Coll,Cantabria,0
2018,6,Gracia,30,la Salut,Cantabria,1
2018,6,Gracia,31,la Vila de Gracia,Cantabria,7
2018,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Cantabria,6
2018,7,Horta-Guinardó,33,el Baix Guinardó,Cantabria,2
2018,7,Horta-Guinardó,34,Can Baró,Cantabria,0
2018,7,Horta-Guinardó,35,el Guinardó,Cantabria,4
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Cantabria,1
2018,7,Horta-Guinardó,37,el Carmel,Cantabria,3
2018,7,Horta-Guinardó,38,la Teixonera,Cantabria,0
2018,7,Horta-Guinardó,39,Sant Genis dels Agudells,Cantabria,1
2018,7,Horta-Guinardó,40,Montbau,Cantabria,1
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Cantabria,0
2018,7,Horta-Guinardó,42,la Clota,Cantabria,0
2018,7,Horta-Guinardó,43,Horta,Cantabria,0
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Cantabria,0
2018,8,Nou Barris,45,Porta,Cantabria,2
2018,8,Nou Barris,46,el Turó de la Peira,Cantabria,0
2018,8,Nou Barris,47,Can Peguera,Cantabria,0
2018,8,Nou Barris,48,la Guineueta,Cantabria,2
